id,price,room_type,minimum_nights,,,,,,,,,
6451305,338,Entire home/apt,2,,,,,,,,,
4892357,69,Entire home/apt,30,,,,,,,,,
6490453,143,Entire home/apt,30,,,,,,,,,
4956314,118,Entire home/apt,2,,,,,,,,,
4973204,295,Entire home/apt,3,,,,,,,,,
6492880,111,Entire home/apt,2,,,,,,,,,
6603376,509,Entire home/apt,2,,,,,,,,,
4993710,120,Entire home/apt,30,,,,,,,,,
6621924,145,Entire home/apt,24,,,,,,,,,
5022572,640,Entire home/apt,7,,,,,,,,,
6644760,119,Entire home/apt,60,,,,,,,,,
5031285,55,Shared room,30,,,,,,,,,
6657574,56,Private room,28,,,,,,,,,
5031383,55,Shared room,30,,,,,,,,,
5052459,147,Entire home/apt,14,,,,,,,,,
6660186,99,Entire home/apt,2,,,,,,,,,
5058086,199,Entire home/apt,7,,,,,,,,,
6678058,79,Entire home/apt,2,,,,,,,,,
5067177,33,Private room,30,,,,,,,,,
5084451,200,Private room,30,,,,,,,,,
6687395,114,Entire home/apt,2,,,,,,,,,
5104918,160,Entire home/apt,30,,,,,,,,,
6689259,229,Entire home/apt,2,,,,,,,,,
5137315,58,Private room,2,,,,,,,,,
6694276,274,Entire home/apt,2,,,,,,,,,
6705584,131,Entire home/apt,15,,,,,,,,,
5174876,106,Entire home/apt,1,,,,,,,,,
6716874,99,Entire home/apt,30,,,,,,,,,
5241773,128,Private room,2,,,,,,,,,
6734621,366,Entire home/apt,1,,,,,,,,,
5259194,98,Private room,2,,,,,,,,,
5299060,84,Entire home/apt,30,,,,,,,,,
6779893,250,Entire home/apt,30,,,,,,,,,
6794702,80,Entire home/apt,30,,,,,,,,,
5328449,207,Entire home/apt,2,,,,,,,,,
5337848,139,Entire home/apt,2,,,,,,,,,
6797786,135,Entire home/apt,3,,,,,,,,,
5340242,104,Entire home/apt,30,,,,,,,,,
6813623,265,Entire home/apt,30,,,,,,,,,
5346780,125,Entire home/apt,180,,,,,,,,,
6813846,160,Entire home/apt,30,,,,,,,,,
5362889,136,Entire home/apt,30,,,,,,,,,
5364244,159,Entire home/apt,3,,,,,,,,,
6852960,143,Entire home/apt,1,,,,,,,,,
5372181,133,Entire home/apt,30,,,,,,,,,
6908161,145,Entire home/apt,30,,,,,,,,,
5386937,110,Entire home/apt,2,,,,,,,,,
6937492,210,Entire home/apt,5,,,,,,,,,
6973790,185,Entire home/apt,2,,,,,,,,,
5407311,125,Entire home/apt,3,,,,,,,,,
6991188,184,Entire home/apt,3,,,,,,,,,
5422159,119,Entire home/apt,30,,,,,,,,,
6993019,450,Entire home/apt,6,,,,,,,,,
5424448,300,Entire home/apt,30,,,,,,,,,
7008269,96,Entire home/apt,1,,,,,,,,,
7010764,101,Entire home/apt,3,,,,,,,,,
5470629,130,Entire home/apt,3,,,,,,,,,
7035498,140,Entire home/apt,2,,,,,,,,,
5470943,242,Entire home/apt,2,,,,,,,,,
5492490,111,Entire home/apt,30,,,,,,,,,
7037522,125,Entire home/apt,2,,,,,,,,,
5525073,145,Entire home/apt,30,,,,,,,,,
7066118,80,Entire home/apt,30,,,,,,,,,
5578943,81,Private room,4,,,,,,,,,
7075948,256,Entire home/apt,3,,,,,,,,,
5581705,139,Entire home/apt,2,,,,,,,,,
7087957,138,Entire home/apt,1,,,,,,,,,
5640722,42,Private room,30,,,,,,,,,
7091397,152,Entire home/apt,4,,,,,,,,,
5652705,125,Entire home/apt,1,,,,,,,,,
7116795,150,Entire home/apt,2,,,,,,,,,
5680462,876,Entire home/apt,6,,,,,,,,,
7131797,84,Entire home/apt,3,,,,,,,,,
7153101,342,Entire home/apt,1,,,,,,,,,
5682316,166,Entire home/apt,2,,,,,,,,,
7178239,61,Private room,30,,,,,,,,,
5686435,595,Entire home/apt,4,,,,,,,,,
7219541,73,Private room,2,,,,,,,,,
5832908,102,Entire home/apt,1,,,,,,,,,
5882923,95,Entire home/apt,2,,,,,,,,,
7221204,105,Private room,30,,,,,,,,,
5883409,115,Entire home/apt,30,,,,,,,,,
5900224,201,Entire home/apt,3,,,,,,,,,
5918741,193,Entire home/apt,2,,,,,,,,,
5919096,149,Entire home/apt,5,,,,,,,,,
7229015,72,Private room,30,,,,,,,,,
5969069,250,Entire home/apt,4,,,,,,,,,
5980730,76,Private room,30,,,,,,,,,
7275464,140,Entire home/apt,2,,,,,,,,,
7239217,108,Entire home/apt,30,,,,,,,,,
7278583,371,Entire home/apt,2,,,,,,,,,
7285916,173,Entire home/apt,2,,,,,,,,,
7305969,90,Private room,2,,,,,,,,,
7245581,56,Private room,3,,,,,,,,,
7324041,89,Entire home/apt,1,,,,,,,,,
7245701,285,Private room,30,,,,,,,,,
7331079,325,Entire home/apt,30,,,,,,,,,
7247518,111,Entire home/apt,30,,,,,,,,,
7342445,176,Entire home/apt,2,,,,,,,,,
7257457,295,Entire home/apt,2,,,,,,,,,
7344117,181,Entire home/apt,1,,,,,,,,,
7262142,67,Entire home/apt,3,,,,,,,,,
7349029,109,Entire home/apt,2,,,,,,,,,
7264708,99,Entire home/apt,30,,,,,,,,,
7350456,64,Entire home/apt,30,,,,,,,,,
7353834,110,Entire home/apt,30,,,,,,,,,
8373832,514,Entire home/apt,7,,,,,,,,,
8385444,70,Entire home/apt,30,,,,,,,,,
7397715,127,Entire home/apt,1,,,,,,,,,
8409750,384,Entire home/apt,2,,,,,,,,,
8410028,179,Entire home/apt,3,,,,,,,,,
7418814,111,Entire home/apt,2,,,,,,,,,
8418650,114,Entire home/apt,3,,,,,,,,,
8425013,391,Entire home/apt,30,,,,,,,,,
7434103,98,Private room,2,,,,,,,,,
7455832,239,Entire home/apt,2,,,,,,,,,
7462250,162,Entire home/apt,1,,,,,,,,,
8426827,175,Entire home/apt,7,,,,,,,,,
7483750,59,Private room,30,,,,,,,,,
8441477,499,Entire home/apt,30,,,,,,,,,
7492877,265,Entire home/apt,2,,,,,,,,,
8515408,130,Entire home/apt,30,,,,,,,,,
7500191,178,Entire home/apt,2,,,,,,,,,
8524349,110,Entire home/apt,7,,,,,,,,,
8597297,176,Entire home/apt,1,,,,,,,,,
7500976,145,Entire home/apt,3,,,,,,,,,
7529124,89,Entire home/apt,30,,,,,,,,,
8612922,100,Entire home/apt,1,,,,,,,,,
8630702,113,Entire home/apt,2,,,,,,,,,
7533537,170,Entire home/apt,2,,,,,,,,,
7562331,85,Entire home/apt,5,,,,,,,,,
7581631,107,Entire home/apt,30,,,,,,,,,
8637174,148,Entire home/apt,2,,,,,,,,,
7602926,100,Entire home/apt,30,,,,,,,,,
7604654,150,Entire home/apt,30,,,,,,,,,
7619727,200,Entire home/apt,3,,,,,,,,,
8701578,68,Entire home/apt,120,,,,,,,,,
7636185,162,Entire home/apt,2,,,,,,,,,
7638263,117,Private room,2,,,,,,,,,
8734809,80,Entire home/apt,30,,,,,,,,,
8780358,219,Entire home/apt,1,,,,,,,,,
7638282,120,Entire home/apt,30,,,,,,,,,
7646637,389,Entire home/apt,30,,,,,,,,,
8866927,88,Entire home/apt,30,,,,,,,,,
8869680,89,Entire home/apt,30,,,,,,,,,
8870139,75,Entire home/apt,5,,,,,,,,,
7660932,1250,Entire home/apt,30,,,,,,,,,
8902327,125,Entire home/apt,30,,,,,,,,,
7665415,192,Entire home/apt,1,,,,,,,,,
7676574,250,Entire home/apt,30,,,,,,,,,
7678064,300,Entire home/apt,30,,,,,,,,,
8924767,32,Private room,3,,,,,,,,,
8941541,216,Entire home/apt,3,,,,,,,,,
8941768,250,Entire home/apt,30,,,,,,,,,
7692281,89,Entire home/apt,30,,,,,,,,,
9013441,119,Entire home/apt,28,,,,,,,,,
7697340,851,Entire home/apt,2,,,,,,,,,
7718139,65,Entire home/apt,30,,,,,,,,,
7745196,141,Entire home/apt,3,,,,,,,,,
9067268,56,Private room,30,,,,,,,,,
9068419,111,Entire home/apt,2,,,,,,,,,
7748778,135,Entire home/apt,30,,,,,,,,,
7789438,155,Entire home/apt,2,,,,,,,,,
9110560,45,Private room,2,,,,,,,,,
7800238,85,Entire home/apt,2,,,,,,,,,
9138923,70,Entire home/apt,7,,,,,,,,,
9154294,164,Entire home/apt,2,,,,,,,,,
9154462,221,Entire home/apt,30,,,,,,,,,
9157232,58,Private room,3,,,,,,,,,
9167786,59,Private room,30,,,,,,,,,
7810447,110,Entire home/apt,30,,,,,,,,,
9174327,98,Entire home/apt,2,,,,,,,,,
7823973,80,Entire home/apt,30,,,,,,,,,
7843995,202,Entire home/apt,1,,,,,,,,,
9217030,145,Entire home/apt,2,,,,,,,,,
7871885,125,Entire home/apt,3,,,,,,,,,
9233533,150,Entire home/apt,30,,,,,,,,,
7873789,111,Entire home/apt,2,,,,,,,,,
9234966,120,Entire home/apt,2,,,,,,,,,
7886645,139,Entire home/apt,2,,,,,,,,,
9262389,100,Entire home/apt,2,,,,,,,,,
9303743,321,Entire home/apt,2,,,,,,,,,
7886656,143,Entire home/apt,2,,,,,,,,,
7902005,199,Entire home/apt,3,,,,,,,,,
9364302,400,Entire home/apt,4,,,,,,,,,
7921065,238,Entire home/apt,30,,,,,,,,,
9367465,120,Entire home/apt,2,,,,,,,,,
7922013,89,Private room,5,,,,,,,,,
9368342,150,Entire home/apt,7,,,,,,,,,
7922663,89,Entire home/apt,5,,,,,,,,,
7935437,122,Entire home/apt,30,,,,,,,,,
9407255,140,Entire home/apt,30,,,,,,,,,
9435521,113,Private room,1,,,,,,,,,
7940358,257,Entire home/apt,3,,,,,,,,,
9448215,89,Private room,30,,,,,,,,,
7956337,79,Entire home/apt,5,,,,,,,,,
7987854,159,Entire home/apt,90,,,,,,,,,
9449437,250,Entire home/apt,30,,,,,,,,,
9457328,94,Entire home/apt,30,,,,,,,,,
7995944,65,Entire home/apt,30,,,,,,,,,
8029177,105,Entire home/apt,2,,,,,,,,,
9512909,145,Entire home/apt,5,,,,,,,,,
9522082,120,Entire home/apt,30,,,,,,,,,
8054902,179,Entire home/apt,1,,,,,,,,,
9579441,106,Entire home/apt,1,,,,,,,,,
9580021,105,Entire home/apt,1,,,,,,,,,
8099917,139,Entire home/apt,5,,,,,,,,,
9587410,112,Private room,1,,,,,,,,,
8101042,80,Private room,3,,,,,,,,,
8101791,169,Entire home/apt,5,,,,,,,,,
8165389,285,Entire home/apt,10,,,,,,,,,
9590835,84,Entire home/apt,30,,,,,,,,,
9611409,69,Entire home/apt,30,,,,,,,,,
8187592,407,Entire home/apt,1,,,,,,,,,
9654152,55,Private room,30,,,,,,,,,
8194782,140,Entire home/apt,3,,,,,,,,,
